#---------- cpi Korea 소비지 물가지수 ---------
2011,09,3.8
2011,10,3.6
2011,11,4.2
2011,12,4.2
2012,01,3.4
2012,02,3.0
2012,03,2.7
2012,04,2.6
2012,05,2.5
2012,06,2.2
2012,07,1.5
2012,08,1.3
2012,09,2.1
2012,10,2.1
2012,11,1.6
2012,12,1.4
2013,01,1.6
2013,02,1.6
2013,03,1.5
2013,04,1.3
2013,05,1.2
2013,06,1.2
2013,07,1.6
2013,08,1.5
2013,09,1.0
2013,10,0.9
2013,11,1.2
2013,12,1.1
2014,01,1.1
2014,02,1.0
2014,03,1.3
2014,04,1.5
2014,05,1.7
2014,06,1.7
2014,07,1.6
2014,08,1.4
2014,09,1.1
2014,10,1.1
2014,11,1.0
2014,12,0.8
2015,01,1.0
2015,02,0.6
2015,03,0.5
2015,04,0.4
2015,05,0.6
2015,06,0.7
2015,07,0.7
2015,08,0.7
2015,09,0.5
2015,10,0.8
2015,11,0.8
2015,12,1.1
2016,01,0.6
2016,02,1.1
2016,03,0.8
2016,04,1.0
2016,05,0.8
2016,06,0.7
2016,07,0.4
2016,08,0.5
2016,09,1.3
2016,10,1.5
2016,11,1.5
2016,12,1.3
2017,01,2.2
2017,02,2.1
2017,03,2.3
2017,04,2.0
2017,05,2.0
2017,06,1.8
2017,07,2.2
2017,08,2.5
2017,09,2.0
2017,10,1.8
2017,11,1.2
2017,12,1.4
2018,01,0.8
2018,02,1.3
2018,03,1.2
2018,04,1.5
2018,05,1.5
2018,06,1.5
2018,07,1.1
2018,08,1.4
2018,09,2.1
2018,10,2.0
2018,11,2.0
2018,12,1.3
2019,01,0.8
2019,02,0.5
2019,03,0.4
2019,04,0.6
2019,05,0.7
2019,06,0.7
2019,07,0.6
2019,08,0.0
2019,09,-0.4
2019,10,0.0
2019,11,0.2
2019,12,0.7
